node,in_degree,out_degree,degree_ratio,degree_balance,in_amount_sum,out_amount_sum,flow_passthrough,pagerank,clustering_coefficient,cycle_participation,reciprocity,fan_in_concentration,txn_velocity,burst_ratio,amount_cv,counterparty_amount_cv,repeat_ratio,community_internal_ratio,louvain_community,split,ring_id,ring_type,rings_attributed,ring_types_attributed,is_mule
MULE_T_0010,21,2,0.09523809523809523,0.09523809523809523,2126214.02,501214.13,0.23573080163466248,5.215345240238945,0.003952569169960474,0.23529411764705882,0.0,0.05975423320691962,0.07380945239385239,0.07407407407407407,0.49563395743938904,0.3892641419840017,2.34803307984184,0.1,3,train,3,layered_fanin,3,layered_fanin,1
MULE_T_0011,1,2,2.0,0.5,474823.65,18544.22,0.0390549730224489,0.4591142997621436,0.0,1.0,0.0,1.0,0.01590806317857832,0.1111111111111111,1.3664060384290615,1.3344948130849719,6.000528981818034,0.1,3,train,3,layered_fanin,3,layered_fanin,1
MULE_T_0012,3,2,0.6666666666666666,0.6666666666666666,291610.49,154985.92,0.5314826788970259,1.464424997750489,0.0,0.8,0.0,0.8941811356571087,0.013456985307173342,0.05555555555555555,1.330850675744106,1.139302409041503,3.6003173890908204,0.3680672268907563,31,train,4,stealth_cycle,4,stealth_cycle,1
MULE_T_0013,2,2,1.0,1.0,335975.38,77277.31,0.23000885619154707,0.5052890143219121,0.0,0.5,0.0,0.5016737241748762,0.016610890548073697,0.07142857142857142,0.690761215978943,0.5917972465924048,3.5003085727271865,0.11778115501519756,19,train,5,stealth_cycle,5,stealth_cycle,1
MULE_T_0014,1,4,4.0,0.25,161289.87,159140.51,0.9866739337277514,0.35169897995476535,0.0,0.4,0.0,1.0,0.015252404870601288,0.058823529411764705,1.014783275784404,1.1163818602754605,3.4002997563635526,0.11778115501519756,19,train,5,stealth_cycle,5,stealth_cycle,1
MULE_T_0015,2,2,1.0,1.0,150036.82,189074.81,0.7935315030603816,0.5699988338739403,0.0,0.75,0.0,0.9003004878798784,0.012420787039517586,0.058823529411764705,0.9760522962734318,0.9167781374182262,4.250374695454441,0.11778115501519756,19,train,5,stealth_cycle,5,stealth_cycle,1
MULE_T_0016,18,2,0.1111111111111111,0.1111111111111111,1227743.93,607383.76,0.4947153459287637,3.0292831211488527,0.002631578947368421,0.3076923076923077,0.0,0.07711330313822451,0.04148669890336826,0.06,0.8157055311979007,0.5763291897522915,2.5002204090908475,0.1,3,train,6,layered_fanin,6,layered_fanin,1
MULE_T_0017,1,3,3.0,0.3333333333333333,482064.46,616012.89,0.7825558010735072,0.40022142473584305,0.0,0.0,0.0,1.0,0.016448638798988276,0.09523809523809523,0.7160224895661208,0.9603622118563024,5.25046285909078,0.12321792260692464,7,train,6,layered_fanin,6,layered_fanin,1
MULE_T_0018,1,2,2.0,0.5,716792.68,645265.35,0.9002119753716287,0.8498054856602297,0.16666666666666666,0.6666666666666666,0.0,1.0,0.03905150128968998,0.13043478260869565,0.30057750455370186,0.6700701366068426,7.6673425878786,0.12642986152919927,6,train,7,fast_cycle,7,fast_cycle,1
MULE_T_0019,2,3,1.5,0.6666666666666666,651990.87,1172182.21,0.5562197230275151,1.9812216392648896,0.05,0.4,0.0,0.9658547662947721,0.03540797049884753,0.16279069767441862,0.7083349678459836,1.1574210019654831,8.600758207272515,0.12642986152919927,6,train,7,fast_cycle,7,fast_cycle,1
MULE_T_0020,11,2,0.18181818181818182,0.18181818181818182,2411701.41,666060.9,0.27617884022517547,2.514160569759667,0.0,0.3076923076923077,0.0,0.3036677962707495,0.0696062017760955,0.27450980392156865,0.46669312865625945,0.481272035525504,3.923422795804099,0.12260967379077616,20,train,8,fast_cycle,8,fast_cycle,1
MULE_T_0021,1,2,2.0,0.5,660792.39,1539353.17,0.42926626865793044,1.7888039769893653,0.0,1.0,0.0,1.0,0.05213411985054886,0.23333333333333334,0.3863261228975416,0.6853547179475288,10.00088163636339,0.12260967379077616,20,train,8,fast_cycle,8,fast_cycle,1
MULE_T_0022,2,1,0.5,0.5,1535446.52,848651.72,0.5527067946278721,1.58250141453298,0.0,1.0,0.0,0.9959404986262748,0.040279269602577876,0.23333333333333334,0.2682466811500008,0.6878015682507371,10.00088163636339,0.12260967379077616,20,train,8,fast_cycle,8,fast_cycle,1
MULE_T_0023,1,2,2.0,0.5,848651.72,1361751.28,0.623206115799797,1.5847187364361088,0.0,0.6666666666666666,0.0,1.0,0.039171548942334176,0.28125,0.4673774034069178,0.674808296128296,10.667607078787615,0.12260967379077616,20,train,8,fast_cycle,8,fast_cycle,1
MULE_T_0024,1,2,2.0,0.5,1346064.22,1282603.43,0.9528545567623107,1.2187595258373696,0.0,1.0,0.0,1.0,0.12902396114101877,0.35294117647058826,0.30417761558987627,0.6701242105435647,11.334332521211843,0.12260967379077616,20,train,8,fast_cycle,8,fast_cycle,1
MULE_T_0025,27,2,0.07407407407407407,0.07407407407407407,2776967.27,546713.64,0.19687435380200013,3.100261918074642,0.0,0.5238095238095238,0.0,0.06321186699325199,0.09565902870656594,0.08333333333333333,0.5629003021617831,0.4172143534376608,2.482977509717807,0.13169845594913715,24,train,9,layered_fanin,9,layered_fanin,1
MULE_T_0026,1,2,2.0,0.5,532710.9,210940.6,0.39597574410612446,1.743372745768711,0.0,1.0,0.0,1.0,0.014105057603488024,0.2,0.632916987181763,0.6694255293045603,5.000440818181695,0.13169845594913715,24,train,9,layered_fanin,9,layered_fanin,1
MULE_T_0027,3,2,0.6666666666666666,0.6666666666666666,222564.88,202396.75,0.9093831519934417,1.0233347818221916,0.0,0.6,0.0,0.8226993081235197,0.01415598655429628,0.05263157894736842,1.39179224395272,1.133683230177838,3.8003350218180882,0.13169845594913715,24,train,9,layered_fanin,9,layered_fanin,1
MULE_T_0028,1,3,3.0,0.3333333333333333,197948.23,619675.16,0.31943870549286035,0.7625142969177671,0.0,0.5,0.0,1.0,0.016383195665188463,0.15,0.898703661714286,0.9472760505161298,5.000440818181695,0.13169845594913715,24,train,9,layered_fanin,9,layered_fanin,1
MULE_T_0029,1,2,2.0,0.5,601134.69,481928.93,0.801698754096157,0.5451889290782233,0.0,1.0,0.0,1.0,0.030079045963436263,0.23529411764705882,0.38585859620455054,0.6590337206630912,5.667166260605922,0.13169845594913715,24,train,9,layered_fanin,9,layered_fanin,1
MULE_T_0030,2,2,1.0,1.0,289318.57,402584.03,0.7186538547624592,0.6401426698947218,0.0,0.75,0.0,0.9235861754940986,0.01297779775183687,0.05555555555555555,1.002851605535137,0.9536529841874664,4.500396736363525,0.11626248216833096,29,train,10,stealth_cycle,10,stealth_cycle,1
MULE_T_0031,2,3,1.5,0.6666666666666666,414136.25,126980.78,0.3066159616521372,0.612743058578712,0.0,0.4,0.0,0.9176448913022344,0.01701940383950874,0.045454545454545456,1.433538848053232,1.1629738811097796,4.400387919999892,0.11626248216833096,29,train,10,stealth_cycle,10,stealth_cycle,1
MULE_T_0032,1,2,2.0,0.5,113514.08,293850.74,0.3862984150693317,0.3356283058445552,0.0,0.6666666666666666,0.0,1.0,0.00719039842130808,0.1111111111111111,0.8920325822920768,0.700554033388664,3.000264490909017,0.11626248216833096,29,train,10,stealth_cycle,10,stealth_cycle,1
MULE_T_0033,2,3,1.5,0.6666666666666666,163955.3,181544.84,0.903111869166354,0.30963242290509235,0.0,0.6,0.0,0.9362372304299247,0.010838293357863078,0.07692307692307693,1.0237750808978512,1.1115117586581298,2.6002292254544814,0.10888252148997135,12,train,11,stealth_cycle,11,stealth_cycle,1
MULE_T_0034,2,2,1.0,1.0,182566.43,18428.81,0.10094306041829339,0.43862123272982395,0.0,0.75,0.0,0.8908829726479153,0.012669464437724199,0.058823529411764705,1.817584247125036,1.5144955546759449,4.250374695454441,0.10888252148997135,12,train,11,stealth_cycle,11,stealth_cycle,1
MULE_T_0035,5,2,0.4,0.4,617948.02,284662.52,0.4606577210695551,1.7293450360737619,0.0,0.8333333333333334,0.0,0.440495594913917,0.015809008020676266,0.045454545454545456,0.9424069426045343,0.825323942722394,3.143134228571351,0.12260967379077616,20,train,12,stealth_cycle,12,stealth_cycle,1
MULE_T_0036,1,2,2.0,0.5,292947.39,373026.9,0.7853250837640775,0.3286443655977588,0.0,0.6666666666666666,0.0,1.0,0.009940490101305141,0.09090909090909091,0.6074280335991012,0.6830372788923033,3.6669899333332427,0.12260967379077616,20,train,12,stealth_cycle,12,stealth_cycle,1
MULE_T_0037,1,2,2.0,0.5,22645.21,59175.12,0.3826812281244349,0.25945068132798693,0.0,1.0,0.0,1.0,0.014995975038644142,0.08333333333333333,0.8046901847357032,0.5404263833060712,4.000352654545356,0.1407942238267148,2,train,13,stealth_cycle,13,stealth_cycle,1
MULE_T_0038,1,4,4.0,0.25,543796.84,546595.91,0.9948790930826682,1.6816306701469532,0.0,0.6,0.0,1.0,0.03494817879091694,0.1276595744680851,0.6568213442940325,1.0469769457762508,9.400828738181588,0.13686313686313686,22,train,14,fast_cycle,14,fast_cycle,1
MULE_T_0039,3,2,0.6666666666666666,0.6666666666666666,384190.82,603381.46,0.6367295701227459,0.7391746986793147,0.0,0.6,0.0,0.9247303846214332,0.030417300008364758,0.125,0.5707465036212261,1.0618674439176763,8.000705309090712,0.13686313686313686,22,train,14,fast_cycle,14,fast_cycle,1
MULE_T_0040,2,0,0.0,0.0,161970.15,0.0,0.0,0.48342262090431454,0.0,0.0,0.0,0.9636186626980867,0.00591162542252287,0.14285714285714285,0.6352528824462521,0.9098357578122349,3.5003085727271865,0.10567514677103718,27,train,15,layered_fanin,15,layered_fanin,1
MULE_T_0041,30,2,0.06666666666666667,0.06666666666666667,2936390.29,258257.01,0.08795050431376637,3.159407837053457,0.0,0.32,0.0,0.03886967104709688,0.05889784818347713,0.06578947368421052,0.5419562080042581,0.35908262018056236,2.3752093886363053,0.1330166270783848,1,train,16,layered_fanin,16,layered_fanin,1
MULE_T_0042,2,2,1.0,1.0,253639.69,275324.03,0.9212406505548716,1.8181390815595282,0.0,0.75,0.0,0.9407648238162263,0.018870743271400602,0.08333333333333333,0.6374170357362479,0.8322787152002219,6.000528981818034,0.1330166270783848,1,train,16,layered_fanin,16,layered_fanin,1
MULE_T_0043,2,1,0.5,0.5,269655.17,8758.1,0.03247889526219869,1.2260833649605078,0.0,0.6666666666666666,0.0,0.9254045055316502,0.013469998384847415,0.1111111111111111,1.0116003293108038,1.1892606287125875,6.000528981818034,0.1330166270783848,1,train,16,layered_fanin,16,layered_fanin,1
MULE_T_0044,2,3,1.5,0.6666666666666666,57416.46,35117.84,0.6116335780001881,0.3976101900378556,0.05,0.6,0.0,0.6700484378504418,0.012601644514609156,0.0625,0.899356595008312,0.8189346505588746,3.200282123636285,0.12436224489795919,8,train,17,stealth_cycle,17,stealth_cycle,1
MULE_T_0045,1,3,3.0,0.3333333333333333,25464.33,47912.75,0.5314729965624075,0.32542601816769523,0.0,0.5,0.0,1.0,0.009874454785469989,0.09090909090909091,0.8699278616399856,0.7037057208590021,2.7502424499999325,0.3680672268907563,31,train,17,stealth_cycle,17,stealth_cycle,1
MULE_T_0046,2,2,1.0,1.0,743449.85,453647.35,0.6101922705363528,4.06275246708538,0.0,0.75,0.0,0.9668831721670341,0.03301839097533106,0.14634146341463414,0.6005539429529693,0.8982454521960668,10.250903677272476,0.11764705882352941,18,train,18,fast_cycle,18,fast_cycle,1
MULE_T_0047,3,2,0.6666666666666666,0.6666666666666666,450958.36,613777.38,0.7347262716631227,2.5580393038439775,0.0,0.4,0.0,0.9533088024208839,0.03347266876180778,0.13513513513513514,0.6105985170931205,1.096694250266388,7.400652410908909,0.11764705882352941,18,train,18,fast_cycle,18,fast_cycle,1
MULE_T_0048,2,2,1.0,1.0,613090.57,314926.18,0.5136699196974431,1.9438212995257111,0.0,1.0,0.0,0.9693051459183242,0.03060032742350343,0.16666666666666666,0.5240677820856291,0.9246047228510679,7.500661227272543,0.11764705882352941,18,train,18,fast_cycle,18,fast_cycle,1
MULE_T_0049,3,2,0.6666666666666666,0.6666666666666666,282610.29,67465.25,0.23872183338005667,0.3259995692520413,0.0,0.0,0.0,0.3765106317861791,0.007917304949395226,0.09090909090909091,0.7658430574006961,0.5162581888929292,2.200193959999946,0.1281767955801105,9,train,19,stealth_cycle,19,stealth_cycle,1
MULE_T_0050,1,2,2.0,0.5,90380.46,81498.0,0.9017215305232821,0.30063230309967026,0.0,0.0,0.0,1.0,0.009795583972643606,0.09090909090909091,0.9225892278376536,0.6630611794377046,3.6669899333332427,0.1407942238267148,2,train,19,stealth_cycle,19,stealth_cycle,1
MULE_T_0051,1,2,2.0,0.5,100603.28,127660.79,0.7880514884738323,0.31251335321521695,0.0,0.6666666666666666,0.0,1.0,0.009827279267338533,0.07692307692307693,0.893343505148627,0.641849598667821,4.3337153757574685,0.12013536379018612,23,train,19,stealth_cycle,19,stealth_cycle,1
MULE_T_0052,2,2,1.0,1.0,117713.72,12197.11,0.10361668581367359,0.3705800803790976,0.0,0.0,0.0,0.9475840343591229,0.008768500622928898,0.08333333333333333,1.1744550961540428,1.3659989120620126,3.000264490909017,0.12013536379018612,23,train,19,stealth_cycle,19,stealth_cycle,1
MULE_T_0053,2,1,0.5,0.5,121763.76,189433.99,0.6427767496831995,0.3210613625685023,0.0,0.6666666666666666,0.0,0.9193475664034225,0.00983172725696175,0.1,0.7339757562469066,0.6762808823110146,3.3336272121211303,0.3680672268907563,31,train,20,stealth_cycle,20,stealth_cycle,1
MULE_T_0054,1,3,3.0,0.3333333333333333,100293.87,183333.61,0.5470566495442741,0.26502995034669385,0.0,0.75,0.0,1.0,0.014722875941139397,0.05555555555555555,1.347285942825962,0.9689084541602686,4.500396736363525,0.12436224489795919,8,train,20,stealth_cycle,20,stealth_cycle,1
MULE_T_0055,1,3,3.0,0.3333333333333333,488753.31,202327.7,0.41396691069812297,1.4412732615788115,0.08333333333333333,1.0,0.0,1.0,0.020319906829464243,0.05555555555555555,0.8982001616322259,0.952952776375422,4.500396736363525,0.110055423594616,17,train,21,layered_fanin,21,layered_fanin,1
MULE_T_0056,25,2,0.08,0.08,2174514.05,386779.43,0.177869362378582,13.326396990715278,0.0014245014245014246,0.36363636363636365,0.0,0.05901197270368207,0.058272900133836375,0.10606060606060606,0.6178097345630262,0.4721208517891444,2.4446599555554958,0.12260967379077616,20,train,22,layered_fanin,22,layered_fanin,1
MULE_T_0057,3,1,0.3333333333333333,0.3333333333333333,387824.24,199929.1,0.5155147224638693,8.227220560515875,0.08333333333333333,0.5,0.0,0.9561015283425219,0.0164277465780519,0.1875,0.7011995092820074,0.9342028521270301,4.000352654545356,0.12260967379077616,20,train,22,layered_fanin,22,layered_fanin,1
MULE_T_0058,1,3,3.0,0.3333333333333333,199929.1,295405.34,0.6767958350500527,7.23784090277038,0.08333333333333333,0.75,0.0,1.0,0.017509186243199124,0.07142857142857142,0.751861422286452,0.9357666740592945,3.5003085727271865,0.12260967379077616,20,train,22,layered_fanin,22,layered_fanin,1
MULE_T_0059,2,3,1.5,0.6666666666666666,330972.93,130346.1,0.3938270778644407,0.37407406022706147,0.0,0.4,0.0,0.9704274094985983,0.01552574038374455,0.047619047619047616,1.394095830917929,1.1556920588180963,4.200370287272624,0.3680672268907563,31,train,23,stealth_cycle,23,stealth_cycle,1
MULE_T_0060,2,3,1.5,0.6666666666666666,118204.16,410008.5,0.28829685006081873,0.31723308071967227,0.0,0.8,0.0,0.9261583309181507,0.012441530397687826,0.058823529411764705,1.2484083046534675,1.1587813778079248,3.4002997563635526,0.13090257023311416,5,train,23,stealth_cycle,23,stealth_cycle,1
MULE_T_0061,2,2,1.0,1.0,403904.6,204930.55,0.5073736411404104,0.4218058051496193,0.0,0.5,0.0,0.9447058812055962,0.013567427287069384,0.05555555555555555,1.1033374106177654,1.0079486785478944,4.500396736363525,0.13090257023311416,5,train,23,stealth_cycle,23,stealth_cycle,1
MULE_T_0062,2,2,1.0,1.0,188586.1,195203.1,0.9661020066563214,0.48335642896923936,0.0,0.75,0.0,0.9475921165659495,0.01134204542447185,0.06666666666666667,0.8114356271978456,0.901093880126663,3.7503306136362715,0.13169845594913715,24,train,24,stealth_cycle,24,stealth_cycle,1
MULE_T_0063,2,3,1.5,0.6666666666666666,35558.61,89629.45,0.39672913490114814,0.39183135947328257,0.0,0.6,0.0,0.8093095953335261,0.017295864755488864,0.047619047619047616,1.1033349005001758,0.9338220250306484,4.200370287272624,0.1234676007005254,25,train,25,stealth_cycle,25,stealth_cycle,1
MULE_T_0064,36,2,0.05555555555555555,0.05555555555555555,2839395.33,214397.74,0.07550823874435268,9.765873201790829,0.0021337126600284497,0.24,0.0,0.03701331593386594,0.06664967310728588,0.07317073170731707,0.6374278536525549,0.4615433726547143,2.158084984688942,0.11764705882352941,18,train,26,layered_fanin,26,layered_fanin,1
MULE_T_0065,2,2,1.0,1.0,378530.35,398736.93,0.9493235269729673,0.5034976688361522,0.0,0.5,0.0,0.9654138960828189,0.017217118889820214,0.08695652173913043,0.8583800577151615,0.9427204426885111,5.7505069409089495,0.10567514677103718,27,train,27,layered_fanin,27,layered_fanin,1
MULE_T_0066,10,1,0.1,0.1,1501548.01,613944.41,0.40887431411064834,2.005507304589498,0.0,0.375,0.0,0.2831225388290297,0.07400369517095806,0.2682926829268293,0.39079588585880215,0.43012674968698084,3.7276013371899905,0.1281767955801105,9,train,28,fast_cycle,28,fast_cycle,1
MULE_T_0067,2,2,1.0,1.0,618345.83,557641.92,0.901828542571162,1.9836616814008978,0.0,0.75,0.0,0.9858652285852976,0.027276222150993654,0.17391304347826086,0.43871028484500174,0.9221645426606021,5.7505069409089495,0.1281767955801105,9,train,28,fast_cycle,28,fast_cycle,1
MULE_T_0068,2,3,1.5,0.6666666666666666,629189.64,511905.05,0.8135942131389876,0.572384247373458,0.0,0.4,0.0,0.9869814404019666,0.030850276467037765,0.13333333333333333,0.7797169312719552,1.1314590293074398,6.000528981818034,0.1281767955801105,9,train,28,fast_cycle,28,fast_cycle,1
MULE_T_0069,1,4,4.0,0.25,492447.87,774333.51,0.6359635280028387,0.45631577443578064,0.0,0.4,0.0,1.0,0.033017907497973724,0.11428571428571428,0.8202757663901851,1.1349247685880115,7.000617145454373,0.1281767955801105,9,train,28,fast_cycle,28,fast_cycle,1
MULE_T_0070,2,3,1.5,0.6666666666666666,1588361.39,1129654.23,0.7112073048104118,1.8097492530038164,0.0,0.6,0.0,0.9940365181781623,0.02945741302875725,0.3783783783783784,0.5152392703703632,1.161299761228328,7.400652410908909,0.12436224489795919,8,train,29,fast_cycle,29,fast_cycle,1
MULE_T_0071,1,2,2.0,0.5,1120049.64,839011.43,0.7490841518141554,1.397531741583636,0.0,1.0,0.0,1.0,0.024033974179397698,0.2692307692307692,0.48486932480089295,0.6960385905938582,8.667430751514937,0.12436224489795919,8,train,29,fast_cycle,29,fast_cycle,1
MULE_T_0072,2,3,1.5,0.6666666666666666,844607.01,948001.62,0.890934137186226,1.1120113761563644,0.0,0.6,0.0,0.9754922168745397,0.031183873482570443,0.14285714285714285,0.8871597981547615,1.1672174690559427,7.000617145454373,0.1407942238267148,2,train,29,fast_cycle,29,fast_cycle,1
MULE_T_0073,3,1,0.3333333333333333,0.3333333333333333,850005.05,741927.71,0.8728509350862871,0.5273352981830159,0.0,0.5,0.0,0.9584401235329439,0.024915809320589004,0.2692307692307692,0.706055119608781,0.9592203673681683,6.500573063636203,0.12642986152919927,6,train,29,fast_cycle,29,fast_cycle,1
MULE_T_0074,40,1,0.025,0.025,3807093.18,325165.78,0.08541051140645792,3.8131938743743663,0.006097560975609756,0.3225806451612903,0.0,0.037972983884455615,0.14040262422636826,0.10309278350515463,0.49496165344147613,0.4639067035899085,2.366062240798168,0.12436224489795919,8,train,30,layered_fanin,30,layered_fanin,1
MULE_T_0075,1,2,2.0,0.5,320008.67,402916.97,0.7942298162399882,1.0363149910942548,0.16666666666666666,1.0,0.0,1.0,0.02664217456233217,0.10526315789473684,0.6507844777330375,0.6588097414030232,6.3338917030301465,0.12436224489795919,8,train,30,layered_fanin,30,layered_fanin,1
MULE_T_0076,2,2,1.0,1.0,111818.3,362076.58,0.3088249941319394,0.5609260161052261,0.0,0.75,0.0,0.8127802553232815,0.01326042554915658,0.07142857142857142,1.1764695827109573,0.998618757189377,3.5003085727271865,0.145478374836173,30,train,31,stealth_cycle,31,stealth_cycle,1
MULE_T_0077,2,2,1.0,1.0,1449549.32,639093.0,0.4408908290468129,2.634797437813381,0.0,0.75,0.0,0.9802880841353361,0.025487431510336465,0.14705882352941177,0.5381988915754903,0.956531824104374,8.500749390908881,0.11778115501519756,19,train,32,fast_cycle,32,fast_cycle,1
MULE_T_0078,1,2,2.0,0.5,637081.08,1128242.94,0.5646665794673564,1.873978430603842,0.0,1.0,0.0,1.0,0.043096587344412234,0.2222222222222222,0.462978314476373,0.678328788325658,9.00079347272705,0.11778115501519756,19,train,32,fast_cycle,32,fast_cycle,1
MULE_T_0079,11,2,0.18181818181818182,0.18181818181818182,984535.21,295356.33,0.29999569708283963,2.534194528610652,0.0,0.45454545454545453,0.0,0.13342039372809553,0.06942307008780733,0.37254901960784315,0.7055137615048259,0.572931312489026,3.923422795804099,0.12611377655928718,32,train,33,fast_cycle,33,fast_cycle,1
MULE_T_0080,3,2,0.6666666666666666,0.6666666666666666,186220.45,180104.15,0.967155598082383,1.441294267953591,0.0,0.6,0.0,0.8841481836094818,0.030291987575106975,0.23076923076923078,0.6941189716957228,1.0231607322799203,5.200458450908963,0.12611377655928718,32,train,33,fast_cycle,33,fast_cycle,1
MULE_T_0081,2,1,0.5,0.5,175471.98,241366.91,0.7269926950821526,1.226379594191979,0.0,1.0,0.0,0.9796251532707496,0.016486577178413907,0.2727272727272727,0.3880203788773328,0.6782768143279213,7.3339798666664855,0.12611377655928718,32,train,33,fast_cycle,33,fast_cycle,1
MULE_T_0082,1,4,4.0,0.25,1112982.39,1207083.82,0.9220423354899409,3.453485163292066,0.0,0.6,0.0,1.0,0.029127857185535323,0.1794871794871795,0.5665510752720113,1.1312301189553433,7.800687676363444,0.11626248216833096,29,train,34,fast_cycle,34,fast_cycle,1
MULE_T_0083,2,1,0.5,0.5,871163.68,1157427.49,0.7526723554496071,2.3015249692496016,0.0,0.6666666666666666,0.0,0.97766115125023,0.02667933377209203,0.1935483870967742,0.42946114597026325,0.680642503179636,10.334244357575503,0.11626248216833096,29,train,34,fast_cycle,34,fast_cycle,1
MULE_T_0084,2,3,1.5,0.6666666666666666,1161281.96,939624.43,0.8091268638299095,2.2382453936422224,0.0,0.6,0.0,0.9933837322065313,0.02660060708496614,0.17142857142857143,0.534328549192274,1.167121544942041,7.000617145454373,0.11626248216833096,29,train,34,fast_cycle,34,fast_cycle,1
MULE_T_0085,1,2,2.0,0.5,442785.41,250681.56,0.5661468310593527,1.2829446472870474,0.0,1.0,0.0,1.0,0.008161799849996012,0.09090909090909091,0.7215663258582333,0.6957609752757715,3.6669899333332427,0.1,3,train,35,stealth_cycle,35,stealth_cycle,1
MULE_T_0086,2,1,0.5,0.5,347434.36,204517.47,0.5886506745336326,1.6100427992696829,0.0,0.0,0.0,0.9630320311819471,0.00850227489529427,0.09090909090909091,0.65650596448038,0.6736978406356696,3.6669899333332427,0.1281767955801105,9,train,37,stealth_cycle,37,stealth_cycle,1
MULE_T_0087,1,3,3.0,0.3333333333333333,505498.24,680725.43,0.7425875696755683,0.7684320345041966,0.08333333333333333,1.0,0.0,1.0,0.0305302580572798,0.25806451612903225,0.5577496641801957,0.9167398018468407,7.750683268181628,0.10888252148997135,12,train,38,fast_cycle,38,fast_cycle,1
MULE_T_0088,1,2,2.0,0.5,662692.91,452245.2,0.6824355460277959,0.6461490825137763,0.16666666666666666,0.6666666666666666,0.0,1.0,0.019970054164149223,0.375,0.2960374941630503,0.6790307892918839,8.000705309090712,0.10888252148997135,12,train,38,fast_cycle,38,fast_cycle,1
MULE_T_0089,2,3,1.5,0.6666666666666666,1028617.08,909363.48,0.8840641426413557,2.133951164213317,0.0,0.8,0.0,0.9733406728651788,0.02956878850102669,0.21428571428571427,0.6767249260914712,1.1225309905432688,8.400740574545248,0.12814645308924486,4,train,39,fast_cycle,39,fast_cycle,1
MULE_T_0090,1,2,2.0,0.5,940953.65,613502.02,0.6520002589091147,2.6170168310416018,0.0,1.0,0.0,1.0,0.021850228820451813,0.28,0.29051555547165536,0.6770423403427073,8.334068030302825,0.12814645308924486,4,train,39,fast_cycle,39,fast_cycle,1
